ordinal,branch_path,gsim,weight
98,b1m1~b1m2_b2m4_b3m1_b4m2_b5m2_b6m1_b7m3_b8m1_b9m4,BooreAtkinson2008() Kanno2006Shallow() AtkinsonBoore2006() ToroEtAl2002() ToroEtAl2002() AtkinsonBoo,3.3400234e-04
99,b1m1~b1m3_b2m4_b3m2_b4m2_b5m1_b6m2_b7m2_b8m4_b9m3,CampbellBozorgnia2008() Kanno2006Shallow() ToroEtAl2002() ToroEtAl2002() AtkinsonBoore2006() ZhaoEtA,3.3300233e-04
100,b1m1~b1m1_b2m1_b3m4_b4m4_b5m1_b6m1_b7m1_b8m4_b9m3,AkkarBommer2010() AkkarBommer2010() NathEtAl2012Lower() NathEtAl2012Upper() AtkinsonBoore2006() Atki,3.3400234e-04
101,b1m1~b1m4_b2m4_b3m2_b4m2_b5m4_b6m3_b7m1_b8m2_b9m4,Kanno2006Shallow() Kanno2006Shallow() ToroEtAl2002() ToroEtAl2002() RaghukanthIyengar2007() Kanno200,3.3300233e-04
102,b1m1~b1m1_b2m4_b3m2_b4m1_b5m3_b6m2_b7m1_b8m4_b9m2,AkkarBommer2010() Kanno2006Shallow() ToroEtAl2002() AtkinsonBoore2006() Campbell2003() ZhaoEtAl2006S,3.3300233e-04
103,b1m1~b1m2_b2m3_b3m2_b4m3_b5m4_b6m3_b7m4_b8m3_b9m4,BooreAtkinson2008() CampbellBozorgnia2008() ToroEtAl2002() SharmaEtAl2009() RaghukanthIyengar2007() ,3.3300233e-04
104,b1m1~b1m1_b2m1_b3m1_b4m2_b5m2_b6m1_b7m4_b8m3_b9m1,AkkarBommer2010() AkkarBommer2010() AtkinsonBoore2006() ToroEtAl2002() ToroEtAl2002() AtkinsonBoore2,3.3400234e-04
105,b1m1~b1m4_b2m3_b3m4_b4m4_b5m3_b6m1_b7m4_b8m4_b9m2,Kanno2006Shallow() CampbellBozorgnia2008() NathEtAl2012Lower() NathEtAl2012Upper() Campbell2003() At,3.3400234e-04
106,b1m1~b1m1_b2m5_b3m3_b4m1_b5m2_b6m2_b7m3_b8m2_b9m4,AkkarBommer2010() SharmaEtAl2009() SharmaEtAl2009() AtkinsonBoore2006() ToroEtAl2002() ZhaoEtAl2006S,3.3300233e-04
107,b1m1~b1m4_b2m3_b3m4_b4m4_b5m3_b6m2_b7m2_b8m2_b9m1,Kanno2006Shallow() CampbellBozorgnia2008() NathEtAl2012Lower() NathEtAl2012Upper() Campbell2003() Zh,3.3300233e-04
108,b1m1~b1m1_b2m2_b3m4_b4m3_b5m2_b6m1_b7m1_b8m4_b9m4,AkkarBommer2010() BooreAtkinson2008() NathEtAl2012Lower() SharmaEtAl2009() ToroEtAl2002() AtkinsonBo,3.3400234e-04
109,b1m1~b1m1_b2m2_b3m4_b4m4_b5m3_b6m2_b7m3_b8m4_b9m1,AkkarBommer2010() BooreAtkinson2008() NathEtAl2012Lower() NathEtAl2012Upper() Campbell2003() ZhaoEtA,3.3300233e-04
110,b1m1~b1m4_b2m2_b3m3_b4m4_b5m1_b6m2_b7m2_b8m1_b9m2,Kanno2006Shallow() BooreAtkinson2008() SharmaEtAl2009() NathEtAl2012Upper() AtkinsonBoore2006() Zhao,3.3300233e-04
111,b1m1~b1m2_b2m2_b3m3_b4m4_b5m4_b6m1_b7m3_b8m4_b9m3,BooreAtkinson2008() BooreAtkinson2008() SharmaEtAl2009() NathEtAl2012Upper() RaghukanthIyengar2007(),3.3400234e-04
112,b1m1~b1m1_b2m1_b3m4_b4m1_b5m1_b6m1_b7m4_b8m2_b9m1,AkkarBommer2010() AkkarBommer2010() NathEtAl2012Lower() AtkinsonBoore2006() AtkinsonBoore2006() Atki,3.3400234e-04
