Longitude,Latitude,Depth,Observed Count,Smoothed Rate,b-value
90.8,25.4,500,0,4.00206E-005,1
94.4,25.4,500,0,4.00206E-005,1
74.4,38.8,500,0,4.08208E-005,1
65.8,32.4,500,0,4.09981E-005,1
68.2,32.4,500,0,4.09981E-005,1
101,7.6,500,0,0.000041514,1
74,37.8,500,0,4.16147E-005,1
65.8,35.6,500,0,4.20829E-005,1
97.8,5.6,500,0,4.23002E-005,1
90.6,25.8,500,0,4.24193E-005,1
94.6,25.8,500,0,4.24193E-005,1
90.8,27.4,500,0,0.000042485,1
94.4,27.4,500,0,0.000042485,1
69.6,39.8,500,0,4.26114E-005,1
70,34,500,0,4.27089E-005,1
94,5,500,0,0.000042982,1
67.4,36.4,500,0,4.31625E-005,1
74.4,39.2,500,0,4.37217E-005,1
93.6,5.4,500,0,4.37307E-005,1
67.6,37.2,500,0,0.000043889,1
69.4,39.6,500,0,4.40953E-005,1
90.6,27,500,0,4.44473E-005,1
94.6,27,500,0,4.44473E-005,1
67.4,36.2,500,0,4.45006E-005,1
97,4,500,0,4.47151E-005,1
74.2,37.2,500,0,0.000044721,1
74.4,39,500,0,4.49021E-005,1
100.8,2.2,500,0,0.000045202,1
68,37.8,500,0,4.52537E-005,1
97,3,500,0,4.52567E-005,1
64.8,33.6,500,0,4.52859E-005,1
69.2,33.6,500,0,4.52859E-005,1
91.2,25,500,0,4.52945E-005,1
94,25,500,0,4.52945E-005,1
66.4,35.8,500,0,4.56262E-005,1
99.2,7.8,500,0,0.00004597,1
94,9.6,500,0,4.59791E-005,1
95.2,9.6,500,0,4.59791E-005,1
96,4.6,500,0,4.60909E-005,1
92,28.2,500,0,4.61297E-005,1
93.2,28.2,500,0,4.61297E-005,1
66.4,32.2,500,0,4.67561E-005,1
67.6,32.2,500,0,4.67561E-005,1
92,24.6,500,0,4.68639E-005,1
