longitude,latitude,nu4_5,Observed Count,Smoothed Rate,ratio
61.9,27.5,0.0073,0,0.0032153,0.44045205479452054
61.9,27.6,0.008,0,0.0035099,0.43873749999999995
61.9,27.7,0.0082,0,0.0036137,0.44069512195121946
61.9,27.8,0.008,0,0.003509,0.438625
61.9,27.9,0.0073,0,0.0032137,0.44023287671232875
61.9,28.0,0.0063,0,0.0027759,0.44061904761904763
62.0,26.4,0.0001,0,3.32e-05,0.332
62.0,26.5,0.0002,0,6.9e-05,0.345
62.0,26.6,0.0003,0,0.0001353,0.45100000000000007
62.0,26.7,0.0006,0,0.00025,0.4166666666666667
62.0,26.8,0.001,0,0.0004358,0.4358
62.0,26.9,0.0016,0,0.0007164,0.4477499999999999
62.0,27.0,0.0025,0,0.0011109,0.44436
62.0,27.1,0.0037,0,0.0016245,0.43905405405405407
62.0,27.2,0.0051,0,0.0022407,0.43935294117647056
62.0,27.3,0.0066,0,0.0029148,0.4416363636363636
62.0,27.4,0.0081,0,0.0035762,0.44150617283950616
62.0,27.5,0.0094,0,0.0041381,0.4402234042553191
62.0,27.6,0.0103,0,0.0045161,0.43845631067961166
62.0,27.7,0.0106,0,0.0046484,0.4385283018867924
62.0,27.8,0.0103,0,0.0045126,0.438116504854369
62.0,27.9,0.0094,0,0.0041317,0.4395425531914894
62.0,28.0,0.0081,0,0.0035678,0.44046913580246916
62.0,28.1,0.0066,0,0.0029057,0.4402575757575758
62.0,28.2,0.0051,0,0.002232,0.4376470588235294
62.1,26.4,0.0001,0,4.09e-05,0.409
62.1,26.5,0.0002,0,8.5e-05,0.425
62.1,26.6,0.0004,0,0.0001666,0.4165
62.1,26.7,0.0007,0,0.0003079,0.4398571428571429
62.1,26.8,0.0012,0,0.0005366,0.4471666666666667
62.1,26.9,0.002,0,0.000882,0.441
62.1,27.0,0.0031,0,0.0013674,0.44109677419354837
62.1,27.1,0.0045,0,0.0019994,0.44431111111111116
62.1,27.2,0.0063,0,0.0027572,0.4376507936507936
62.1,27.3,0.0082,0,0.003586,0.4373170731707317
62.1,27.4,0.01,0,0.0043988,0.43987999999999994
62.1,27.5,0.0116,0,0.0050891,0.43871551724137936
62.1,27.6,0.0126,0,0.005553,0.44071428571428567
62.1,27.7,0.013,0,0.0057146,0.4395846153846154
62.1,27.8,0.0126,0,0.0055465,0.4401984126984127
62.1,27.9,0.0115,0,0.0050773,0.44150434782608694
62.1,28.0,0.01,0,0.0043836,0.43835999999999997
62.1,28.1,0.0081,0,0.0035694,0.4406666666666667
62.1,28.2,0.0062,0,0.0027412,0.44212903225806455
62.1,28.3,0.0045,0,0.0019855,0.44122222222222224
62.2,26.4,0.0001,0,4.82e-05,0.482
62.2,26.5,0.0002,0,0.0001,0.5
62.2,26.6,0.0004,0,0.000196,0.48999999999999994
62.2,26.7,0.0008,0,0.0003621,0.452625
62.2,26.8,0.0014,0,0.0006309,0.4506428571428571
62.2,26.9,0.0024,0,0.0010369,0.43204166666666677
62.2,27.0,0.0037,0,0.0016073,0.4344054054054054
62.2,27.1,0.0053,0,0.0023498,0.4433584905660377
62.2,27.2,0.0074,0,0.0032399,0.4378243243243243
62.2,27.3,0.0096,0,0.0042132,0.43887500000000007
62.2,27.4,0.0117,0,0.0051675,0.44166666666666665
62.2,27.5,0.0136,0,0.0059775,0.43952205882352946
62.2,27.6,0.0148,0,0.0065213,0.44062837837837837
62.2,27.7,0.0153,0,0.0067101,0.4385686274509804
62.2,27.8,0.0148,0,0.0065118,0.43998648648648647
