YEAR	MONTH	DAY	HH	MM	SS	LAT	LON	DEPTH	DEPTH_ERR	NMAG_TYPE	MAG	MAG_MW	MAG_MW_ERR	SOURCE
1872	11	22	-1	-1	-1	18.8	80	-1	-1	MW	4.7	4.6	-1	JS2004a
1874	10	18	-1	-1	-1	35.1	69.2	-1	-1	MS	7	6.9	-1	AB2003a
1875	1	2	-1	-1	-1	15.5	80	-1	-1	MW	3.3	3.2	-1	JS2004a
1876	7	3	-1	-1	-1	24.6	73.8	-1	-1	MW	3.3	3.2	-1	JS2004a
1876	8	5	-1	-1	-1	25.4	99.4	-1	-1	~MS	6	6.1	-1	LEE1976a
1876	11	1	-1	-1	-1	17.5	78.5	-1	-1	MW	4.7	4.6	-1	JS2004a
1877	12	1	-1	-1	-1	18.9	72.9	-1	-1	MW	3.8	3.7	-1	JS2004a
1878	3	2	-1	-1	-1	34	73.2	-1	-1	~MS	6.7	6.8	0.3	ASC2009a
1878	8	7	-1	-1	-1	27.7	100.7	-1	-1	~MS	5.5	5.7	-1	LEE1976a
1878	12	1	-1	-1	-1	18.3	84	-1	-1	MW	3.8	3.7	-1	JS2004a
1879	4	2	-1	-1	-1	37.5	57.4	15	-1	~MS	6.7	6.6	-1	NGDC
1879	4	28	-1	-1	-1	13.8	77.8	-1	-1	MW	3.8	3.7	-1	JS2004a
1879	6	17	-1	-1	-1	12.8	77.9	-1	-1	MW	3.8	3.7	-1	JS2004a
1879	7	30	-1	-1	-1	22.5	75.8	-1	-1	MW	3.3	3.2	-1	JS2004a
1879	11	23	-1	-1	-1	24.6	98.7	-1	-1	~MS	5	5.4	-1	LEE1976a
1881	12	10	-1	-1	-1	24	85.4	-1	-1	MW	3.3	3.2	-1	JS2004a
1881	12	27	-1	-1	-1	22.3	70.8	-1	-1	MW	3.3	3.2	-1	JS2004a
1881	12	31	-1	-1	-1	9.25	92.7	-1	-1	~MS	7.9	7.9	0.1	B2005a
1881	12	31	-1	-1	-1	10.8	92.55	-1	-1	MW	7	7	0.1	B2005a
1882	2	28	-1	-1	-1	11.5	76.7	-1	-1	MW	5.6	5.5	-1	JS2004a
1882	4	1	-1	-1	-1	13	77.5	-1	-1	MW	3.8	3.7	-1	JS2004a
1882	6	10	-1	-1	-1	23.2	71.4	-1	-1	MW	3.8	3.7	-1	JS2004a
1882	6	27	-1	-1	-1	23.4	70.6	-1	-1	MW	3.3	3.2	-1	JS2004a
1882	12	15	-1	-1	-1	24.9	72.7	-1	-1	MW	6.1	6	-1	JS2004a
1883	7	27	-1	-1	-1	21.2	79.2	-1	-1	MW	3.8	3.7	-1	JS2004a
1883	10	6	-1	-1	-1	24	85.4	-1	-1	MW	3.3	3.2	-1	JS2004a
1883	10	20	-1	-1	-1	21.7	72	-1	-1	MW	3.3	3.2	-1	JS2004a
1884	2	5	-1	-1	-1	22.5	74.2	-1	-1	MW	3.3	3.2	-1	JS2004a
1885	5	30	-1	-1	-1	34.12	74.61	-1	-1	~MS	7	6.3	0.3	GSI;AD2004a
1885	7	5	-1	-1	-1	37.7	75.1	-1	-1	~MS	6	6.1	-1	LEE1976a
1885	7	14	-1	-1	-1	24.5	90	-1	-1	~MS	6.8	6.8	-1	ASC2009a
1885	7	24	-1	-1	-1	25	89.2	-1	-1	MW	4.9	4.8	-1	JS2004a
1885	8	1	-1	-1	-1	23.2	87.7	-1	-1	MW	3.8	3.7	-1	JS2004a
1885	8	21	-1	-1	-1	25.4	86.5	-1	-1	MW	3.8	3.7	-1	JS2004a
1886	2	1	-1	-1	-1	24.3	88.3	-1	-1	MW	3.3	3.2	-1	JS2004a
1886	2	12	-1	-1	-1	14.5	75.4	-1	-1	MW	3.3	3.2	-1	JS2004a
1886	4	14	-1	-1	-1	22.5	70.1	-1	-1	MW	3.3	3.2	-1	JS2004a
1886	5	3	-1	-1	-1	16.6	74.3	-1	-1	MW	3.3	3.2	-1	JS2004a
1886	5	19	-1	-1	-1	23.2	87.7	-1	-1	MW	4.2	4.1	-1	JS2004a
1887	11	11	-1	-1	-1	22.3	70.9	-1	-1	MW	3.3	3.2	-1	JS2004a
1888	12	23	-1	-1	-1	22.6	88.4	-1	-1	MW	4.2	4.1	-1	JS2004a
1888	12	24	-1	-1	-1	24.3	88.3	-1	-1	MW	3.3	3.2	-1	JS2004a
1889	1	27	-1	-1	-1	19.4	84.9	-1	-1	MW	3.3	3.2	-1	JS2004a
1889	3	31	-1	-1	-1	12.9	74.8	-1	-1	MW	3.8	3.7	-1	JS2004a
1889	5	12	-1	-1	-1	25.6	88.7	-1	-1	MW	3.3	3.2	-1	JS2004a
1889	8	12	-1	-1	-1	13.1	80.3	-1	-1	MW	3.8	3.7	-1	JS2004a
1889	11	10	-1	-1	-1	19.1	84.6	-1	-1	MW	3.8	3.7	-1	JS2004a
1890	3	3	-1	-1	-1	22.9	88.4	-1	-1	MW	3.3	3.2	-1	JS2004a
1890	4	22	-1	-1	-1	26.5	99.9	-1	-1	~MS	5.5	5.7	-1	LEE1976a
1890	5	17	-1	-1	-1	25.1	84.2	-1	-1	MW	3.3	3.2	-1	JS2004a
1890	9	27	-1	-1	-1	22.5	74.4	-1	-1	MW	3.3	3.2	-1	JS2004a
1890	10	6	-1	-1	-1	27.3	100.3	-1	-1	~MS	5	5.4	-1	LEE1976a
1891	2	17	-1	-1	-1	13.1	79.5	-1	-1	MW	3.8	3.7	-1	JS2004a
1891	5	16	-1	-1	-1	19.1	73	-1	-1	MW	3.3	3.2	-1	JS2004a
1891	7	8	-1	-1	-1	24	89.3	-1	-1	MW	3.3	3.2	-1	JS2004a
1891	7	10	-1	-1	-1	22.5	88.3	-1	-1	MW	3.8	3.7	-1	JS2004a
1891	7	27	-1	-1	-1	21.3	71.4	-1	-1	MW	3.3	3.2	-1	JS2004a
1892	2	19	-1	-1	-1	24	85	-1	-1	MW	4.2	4.1	-1	JS2004a
1892	5	6	-1	-1	-1	13.1	80.3	-1	-1	MW	3.3	3.2	-1	JS2004a
1892	12	20	20	-1	-1	30.9	66.5	-1	-1	MW	6.8	6.8	-1	AM2000a
1893	2	13	4	-1	-1	30.7	67.4	-1	-1	MS	5.9	6	-1	AB2003a
1893	11	17	15	-1	-1	37.1	58.4	-1	-1	MS	7.1	7	-1	AB2003a
1894	1	1	-1	-1	-1	25.5	81.8	-1	-1	MW	3.3	3.2	-1	JS2004a
1895	1	17	8	30	-1	37.1	58.4	-1	-1	~MS	6.8	6.7	-1	NGDC
1895	1	17	11	0	0	37.1	58.4	-1	-1	MS	6.8	6.7	-1	AB2003a
1895	7	11	-1	-1	-1	25.3	100.3	-1	-1	~MS	4.8	5.2	-1	LEE1976a
1896	1	3	-1	-1	-1	13.5	74.8	-1	-1	MW	3.8	3.7	-1	JS2004a
1896	2	12	-1	-1	-1	26.8	100.2	-1	-1	~MS	5.5	5.7	-1	LEE1976a
1896	3	5	-1	-1	-1	38	76	-1	-1	~MS	6.5	6.4	-1	NGDC
1896	4	30	-1	-1	-1	19	73.5	-1	-1	MW	3.3	3.2	-1	JS2004a
1896	11	1	5	1	-1	39.7	75.9	25	-1	~MS	6.6	6.5	-1	NGDC
1897	1	11	3	-1	-1	26.95	56.26	33	-1	~MS	6.1	6.1	-1	NGDC
1897	6	12	11	6	-1	26	91	35	-1	~MS	8.1	8.1	0.1	BE2001a
1897	6	22	-1	-1	-1	19.4	84.9	-1	-1	MW	4.7	4.6	-1	JS2004a
1898	4	4	-1	-1	-1	25.5	85.4	-1	-1	MW	3.3	3.2	-1	JS2004a
1898	6	1	-1	-1	-1	17	82.3	-1	-1	MW	3.3	3.2	-1	JS2004a
1898	6	21	-1	-1	-1	39.5	76	-1	-1	~MS	5.5	5.7	-1	LEE1976a
1898	8	1	-1	-1	-1	25.6	85.1	-1	-1	MW	3.3	3.2	-1	JS2004a
1898	10	1	-1	-1	-1	23.1	72.7	-1	-1	MW	3.8	3.7	-1	JS2004a
1898	10	9	-1	-1	-1	20.1	85.4	-1	-1	MW	3.3	3.2	-1	JS2004a
1898	10	15	-1	-1	-1	15.9	74.6	-1	-1	MW	3.8	3.7	-1	JS2004a
1898	11	17	15	6	-1	37.2	58.4	11	-1	~MS	6.6	6.5	-1	NGDC
1899	9	17	-1	-1	-1	25.6	88.6	-1	-1	MW	3.3	3.2	-1	JS2004a
