ordinal,branch_path,weight
217,b1m1~b1m3_b2m5_b3m4_b4m3_b5m4_b6m2_b7m3_b9m1_b8m2,3.3333334e-05
218,b1m1~b1m3_b2m3_b3m4_b4m4_b5m4_b6m2_b7m3_b9m2_b8m2,3.3333334e-05
219,b1m1~b1m4_b2m2_b3m4_b4m4_b5m4_b6m1_b7m1_b9m1_b8m2,3.3333334e-05
220,b1m1~b1m3_b2m4_b3m1_b4m3_b5m2_b6m3_b7m1_b9m4_b8m3,3.3333334e-05
221,b1m1~b1m3_b2m2_b3m2_b4m2_b5m4_b6m2_b7m2_b9m1_b8m4,3.3333334e-05
222,b1m1~b1m1_b2m2_b3m4_b4m2_b5m4_b6m3_b7m3_b9m4_b8m2,3.3333334e-05
223,b1m1~b1m2_b2m3_b3m2_b4m2_b5m3_b6m3_b7m1_b9m1_b8m2,3.3333334e-05
224,b1m1~b1m2_b2m1_b3m2_b4m1_b5m4_b6m2_b7m2_b9m3_b8m1,3.3333334e-05
225,b1m1~b1m1_b2m5_b3m4_b4m3_b5m1_b6m1_b7m4_b9m3_b8m3,3.3333334e-05
226,b1m1~b1m4_b2m5_b3m2_b4m4_b5m2_b6m2_b7m2_b9m2_b8m3,3.3333334e-05
227,b1m1~b1m2_b2m3_b3m4_b4m2_b5m4_b6m1_b7m2_b9m4_b8m4,3.3333334e-05
