longitude,latitude,mmin,duration,lambda,nu,zoneid,tectonic subregion,a,b,mmax,name,id
94.4,26.4,5.5,95,0.00016423098104,0.0156019431988,162,subduction intraslab,1.55045508717,0.97,7.3,26.4N 94.4E 70-180 km depth,26p4N94p4Ez162
94.4,26.6,5.5,95,0.000105276269897,0.0100012456403,162,subduction intraslab,1.35733048881,0.97,7.3,26.6N 94.4E 70-180 km depth,26p6N94p4Ez162
94.4,26.8,5.5,95,5.89547111426e-05,0.00560069755855,936,subduction intraslab Himalayas,2.59051851582,1.24,6.7,26.8N 94.4E 70-180 km depth,26p8N94p4Ez936
94.4,27.0,5.5,95,3.36884063672e-05,0.00320039860488,936,subduction intraslab Himalayas,2.34748046713,1.24,6.7,27N 94.4E 70-180 km depth,27N94p4Ez936
94.4,27.2,5.5,95,1.68442031836e-05,0.00160019930244,936,subduction intraslab Himalayas,2.04645047147,1.24,6.7,27.2N 94.4E 70-180 km depth,27p2N94p4Ez936
94.4,27.4,5.5,95,8.4221015918e-06,0.000800099651221,936,subduction intraslab Himalayas,1.7454204758,1.24,6.7,27.4N 94.4E 70-180 km depth,27p4N94p4Ez936
94.4,27.6,5.5,95,8.4221015918e-06,0.000800099651221,936,subduction intraslab Himalayas,1.7454204758,1.24,6.7,27.6N 94.4E 70-180 km depth,27p6N94p4Ez936
94.4,27.8,5.5,95,8.4221015918e-06,0.000800099651221,936,subduction intraslab Himalayas,1.7454204758,1.24,6.7,27.8N 94.4E 70-180 km depth,27p8N94p4Ez936
94.4,28.0,5.5,95,8.4221015918e-06,0.000800099651221,936,subduction intraslab Himalayas,1.7454204758,1.24,6.7,28N 94.4E 70-180 km depth,28N94p4Ez936
94.4,28.2,5.5,95,8.4221015918e-06,0.000800099651221,936,subduction intraslab Himalayas,1.7454204758,1.24,6.7,28.2N 94.4E 70-180 km depth,28p2N94p4Ez936
94.4,28.4,5.5,95,4.2110507959e-06,0.00040004982561,936,subduction intraslab Himalayas,1.44439048014,1.24,6.7,28.4N 94.4E 70-180 km depth,28p4N94p4Ez936
94.4,28.6,5.5,95,4.2110507959e-06,0.00040004982561,936,subduction intraslab Himalayas,1.44439048014,1.24,6.7,28.6N 94.4E 70-180 km depth,28p6N94p4Ez936
94.4,28.8,5.5,95,4.2110507959e-06,0.00040004982561,936,subduction intraslab Himalayas,1.44439048014,1.24,6.7,28.8N 94.4E 70-180 km depth,28p8N94p4Ez936
94.6,2.2,5.5,95,0.000387416673223,0.0368045839562,167,subduction intraslab,2.47317830748,1.07,8.0,2.2N 94.6E 70-180 km depth,2p2N94p6Ez167
94.6,2.4,5.5,95,0.000374783520835,0.0356044344793,167,subduction intraslab,2.45878048678,1.07,8.0,2.4N 94.6E 70-180 km depth,2p4N94p6Ez167
94.6,2.6,5.5,95,0.000332673012876,0.0316039362232,167,subduction intraslab,2.40701757143,1.07,8.0,2.6N 94.6E 70-180 km depth,2p6N94p6Ez167
94.6,2.8,5.5,95,0.000273718301733,0.0260032386647,167,subduction intraslab,2.32230383678,1.07,8.0,2.8N 94.6E 70-180 km depth,2p8N94p6Ez167
94.6,3.0,5.5,95,0.000214763590591,0.0204025411061,167,subduction intraslab,2.21696065624,1.07,8.0,3N 94.6E 70-180 km depth,3N94p6Ez167
94.6,3.2,5.5,95,0.00016423098104,0.0156019431988,167,subduction intraslab,2.10045508717,1.07,8.0,3.2N 94.6E 70-180 km depth,3p2N94p6Ez167
94.6,3.4,5.5,95,0.000143175727061,0.0136016940708,167,subduction intraslab,2.04086939718,1.07,8.0,3.4N 94.6E 70-180 km depth,3p4N94p6Ez167
94.6,3.6,5.5,95,0.000151597828652,0.014401793722,167,subduction intraslab,2.06569298091,1.07,8.0,3.6N 94.6E 70-180 km depth,3p6N94p6Ez167
94.6,3.8,5.5,95,0.000181075184224,0.0172021425012,167,subduction intraslab,2.14285893572,1.07,8.0,3.8N 94.6E 70-180 km depth,3p8N94p6Ez167
94.6,4.0,5.5,95,0.000210552539795,0.0200024912805,167,subduction intraslab,2.20836048448,1.07,8.0,4N 94.6E 70-180 km depth,4N94p6Ez167
94.6,4.2,5.5,95,0.00023581884457,0.0224027902342,167,subduction intraslab,2.25757850715,1.07,8.0,4.2N 94.6E 70-180 km depth,4p2N94p6Ez167
94.6,4.4,5.5,95,0.000252663047754,0.0240029895366,167,subduction intraslab,2.28754173052,1.07,8.0,4.4N 94.6E 70-180 km depth,4p4N94p6Ez167
94.6,4.6,5.5,95,0.000273718301733,0.0260032386647,167,subduction intraslab,2.32230383678,1.07,8.0,4.6N 94.6E 70-180 km depth,4p6N94p6Ez167
94.6,4.8,5.5,95,0.00032846196208,0.0312038863976,167,subduction intraslab,2.40148508283,1.07,8.0,4.8N 94.6E 70-180 km depth,4p8N94p6Ez167
94.6,5.0,5.5,95,0.000437949282773,0.0416051818635,167,subduction intraslab,2.52642381944,1.07,8.0,5N 94.6E 70-180 km depth,5N94p6Ez167
