longitude,latitude,mmin,duration,lambda,nu,zoneid,tectonic subregion,a,b,mmax,nearest,name,id
74.2,36.8,4.5,45,0.00757427669822,0.34084245142,6,active shallow crust normal,2.42434116642,1.01,8.2,0.0,36.8N 74.2E 0-25 km depth,36p8N74p2Ez6
74.2,37.0,4.5,45,0.00643635719426,0.289636073742,6,active shallow crust normal,2.35364013785,1.01,8.2,0.0,37N 74.2E 0-25 km depth,37N74p2Ez6
74.2,37.2,4.5,45,0.00563625754304,0.253631589437,6,active shallow crust normal,2.29599082953,1.01,8.2,0.0,37.2N 74.2E 0-25 km depth,37p2N74p2Ez6
74.2,37.4,4.5,45,0.00530732768643,0.238829745889,6,active shallow crust normal,2.26987590278,1.01,8.2,0.0,37.4N 74.2E 0-25 km depth,37p4N74p2Ez6
74.2,37.6,4.5,45,0.00544956762443,0.245230543099,6,active shallow crust normal,2.28136204617,1.01,8.2,0.0,37.6N 74.2E 0-25 km depth,37p6N74p2Ez6
74.2,37.8,4.5,45,0.00600963738028,0.270433682113,6,active shallow crust normal,2.32384826759,1.01,8.2,0.0,37.8N 74.2E 0-25 km depth,37p8N74p2Ez6
74.2,38.0,4.5,45,0.00705865692299,0.317639561535,6,active shallow crust normal,2.39372207408,1.01,8.2,0.0,38N 74.2E 0-25 km depth,38N74p2Ez6
74.2,38.2,4.5,45,0.0088633261363,0.398849676134,6,active shallow crust normal,2.49259672996,1.01,8.2,0.0,38.2N 74.2E 0-25 km depth,38p2N74p2Ez6
74.2,38.4,4.5,45,0.0119570447877,0.538067015446,6,active shallow crust normal,2.62262385599,1.01,8.2,0.0,38.4N 74.2E 0-25 km depth,38p4N74p2Ez6
74.2,38.6,4.5,45,0.0171665825167,0.772496213254,6,active shallow crust normal,2.77968384543,1.01,8.2,0.0,38.6N 74.2E 0-25 km depth,38p6N74p2Ez6
74.2,38.8,4.5,45,0.0253009289708,1.13854180369,2,subduction interface,2.5881364674,0.93,8.0,0.0,38.8N 74.2E 0-25 km depth,38p8N74p2Ez2
74.2,39.0,4.5,45,0.0362178442119,1.62980298954,2,subduction interface,2.74392259632,0.93,8.0,0.0,39N 74.2E 0-25 km depth,39N74p2Ez2
74.2,39.2,4.5,45,0.047845959143,2.15306816143,2,subduction interface,2.86484526508,0.93,8.0,0.0,39.2N 74.2E 0-25 km depth,39p2N74p2Ez2
74.2,39.4,4.5,45,0.0567359552677,2.55311798705,2,subduction interface,2.93885837151,0.93,8.0,0.0,39.4N 74.2E 0-25 km depth,39p4N74p2Ez2
74.2,39.6,4.5,45,0.0602208337485,2.70993751868,2,subduction interface,2.96474676396,0.93,8.0,0.0,39.6N 74.2E 0-25 km depth,39p6N74p2Ez2
74.2,39.8,4.5,45,0.0582116946244,2.6195262581,2,subduction interface,2.95001024239,0.93,8.0,0.0,39.8N 74.2E 0-25 km depth,39p8N74p2Ez2
74.2,40.0,4.5,45,0.052548767093,2.36469451918,2,subduction interface,2.905562531,0.93,8.0,0.0,40N 74.2E 0-25 km depth,40N74p2Ez2
74.4,2.8,4.5,45,8.88999612467e-06,0.00040004982561,923,stable shallow crust,-1.76609842835,0.73,6.0,583.605867004,2.8N 74.4E 0-25 km depth,2p8N74p4Ez923
74.4,3.0,4.5,45,3.55599844987e-05,0.00160019930244,923,stable shallow crust,-1.16403843702,0.73,6.0,565.264156643,3N 74.4E 0-25 km depth,3N74p4Ez923
74.4,3.2,4.5,45,9.77899573714e-05,0.00440054808171,923,stable shallow crust,-0.724705743189,0.73,6.0,547.17498574,3.2N 74.4E 0-25 km depth,3p2N74p4Ez923
74.4,3.4,4.5,45,0.000231139899242,0.0104012954659,923,stable shallow crust,-0.351125080376,0.73,6.0,529.366026386,3.4N 74.4E 0-25 km depth,3p4N74p4Ez923
74.4,3.6,4.5,45,0.000408939821735,0.0184022919781,923,stable shallow crust,-0.103340596666,0.73,6.0,511.868325583,3.6N 74.4E 0-25 km depth,3p6N74p4Ez923
74.4,3.8,4.5,45,0.000586739744229,0.0264032884903,923,stable shallow crust,0.0534455071946,0.73,6.0,494.716725942,3.8N 74.4E 0-25 km depth,3p8N74p4Ez923
74.4,4.0,4.5,45,0.000657859713226,0.0296036870952,923,stable shallow crust,0.103133291384,0.73,6.0,477.95031938,4N 74.4E 0-25 km depth,4N74p4Ez923
74.4,4.2,4.5,45,0.000586739744229,0.0264032884903,923,stable shallow crust,0.0534455071946,0.73,6.0,461.612924988,4.2N 74.4E 0-25 km depth,4p2N74p4Ez923
74.4,4.4,4.5,45,0.000408939821735,0.0184022919781,923,stable shallow crust,-0.103340596666,0.73,6.0,445.745985435,4.4N 74.4E 0-25 km depth,4p4N74p4Ez923
74.4,4.6,4.5,45,0.000231139899242,0.0104012954659,923,stable shallow crust,-0.351125080376,0.73,6.0,430.048013997,4.6N 74.4E 0-25 km depth,4p6N74p4Ez923
74.4,4.8,4.5,45,9.77899573714e-05,0.00440054808171,923,stable shallow crust,-0.724705743189,0.73,6.0,414.340301096,4.8N 74.4E 0-25 km depth,4p8N74p4Ez923
74.4,5.0,4.5,45,3.55599844987e-05,0.00160019930244,923,stable shallow crust,-1.16403843702,0.73,6.0,398.623038126,5N 74.4E 0-25 km depth,5N74p4Ez923
