longitude,latitude,nu,mmin,duration,lambda,distance,zoneid,in zoneid,zmax,zmin,tectonic subregion,a,b,stdb,mmax,stdmmax,rake,dip,strike,aspect ratio,msr,name,id,logN_5.0-6.0,logN_6.0-7.0,logN_7.0-8.0
69,25,0.0007,5.5,107,6.5421e-06,0,932.0,932,70,25,stable shallow crust,-0.069286,0.93,0.1,6.5,0.3,8,67,239,2,WC1994,25N 69E 25-70 km depth,25N_69E_2,,,
69,26,0.0011,5.5,107,1.028e-05,0,932.0,932,70,25,stable shallow crust,0.12701,0.93,0.1,6.5,0.3,8,67,239,2,WC1994,26N 69E 25-70 km depth,26N_69E_2,,,
69,27,0.0082,5.5,107,7.6636e-05,0,94.0,94,70,25,subduction interface,1.2744,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,27N 69E 25-70 km depth,27N_69E_2,-4.19,-4.63,-5.61
69,28,0.0172,5.5,107,0.00016075,0,94.0,94,70,25,subduction interface,1.5961,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,28N 69E 25-70 km depth,28N_69E_2,-3.83,-4.3,-5.28
69,29,0.0204,5.5,107,0.00019065,0,93.0,93,70,25,subduction interface,2.7702,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,29N 69E 25-70 km depth,29N_69E_2,-3.72,-4.31,-5.49
69,30,0.0261,5.5,107,0.00024393,0,93.0,93,70,25,subduction interface,2.8773,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,30N 69E 25-70 km depth,30N_69E_2,-3.61,-4.2,-5.38
69,31,0.0082,5.5,107,7.6636e-05,0,93.0,93,70,25,subduction interface,2.3744,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,31N 69E 25-70 km depth,31N_69E_2,-4.12,-4.71,-5.89
69,32,0.0059,5.5,107,5.514e-05,0,93.0,93,70,25,subduction interface,2.2315,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,32N 69E 25-70 km depth,32N_69E_2,-4.27,-4.85,-6.03
69,33,0.0062,5.5,107,5.7944e-05,0,92.0,92,70,25,subduction interface,1.538,1.05,0.1,8.3,0.4,-5,66,194,2,StrasserInterface,33N 69E 25-70 km depth,33N_69E_2,-4.28,-4.77,-5.82
69,34,0.0027,5.5,107,2.5234e-05,0,92.0,92,70,25,subduction interface,1.177,1.05,0.1,8.3,0.4,-5,66,194,2,StrasserInterface,34N 69E 25-70 km depth,34N_69E_2,-4.71,-5.15,-6.2
69,35,0.0142,5.5,107,0.00013271,0,92.0,92,70,25,subduction interface,1.8979,1.05,0.1,8.3,0.4,-5,66,194,2,StrasserInterface,35N 69E 25-70 km depth,35N_69E_2,-3.9,-4.41,-5.46
69,36,0.0321,5.5,107,0.0003,0,88.0,88,70,25,subduction interface,3.1871,1.22,0.09,8,0.4,4,73,210,2,StrasserInterface,36N 69E 25-70 km depth,36N_69E_2,-3.52,-4.13,-5.35
69,37,0.0284,5.5,107,0.00026542,0,88.0,88,70,25,subduction interface,3.1339,1.22,0.09,8,0.4,4,73,210,2,StrasserInterface,37N 69E 25-70 km depth,37N_69E_2,-3.58,-4.19,-5.41
69,38,0.0063,5.5,107,5.8879e-05,0,87.0,87,70,25,subduction interface,2.15,1.16,0.06,8.1,0.3,166,89,150,2,StrasserInterface,38N 69E 25-70 km depth,38N_69E_2,-4.24,-4.81,-5.97
69,39,0.0053,5.5,107,4.9533e-05,0,87.0,87,70,25,subduction interface,2.0749,1.16,0.06,8.1,0.3,166,89,150,2,StrasserInterface,39N 69E 25-70 km depth,39N_69E_2,-4.32,-4.89,-6.05
70,23,0.0002,5.5,107,1.8692e-06,0,932.0,932,70,25,stable shallow crust,-0.61335,0.93,0.1,6.5,0.3,8,67,239,2,WC1994,23N 70E 25-70 km depth,23N_70E_2,,,
70,24,0.0056,5.5,107,5.2336e-05,0,932.0,932,70,25,stable shallow crust,0.8338,0.93,0.1,6.5,0.3,8,67,239,2,WC1994,24N 70E 25-70 km depth,24N_70E_2,-4.52,-4.99,
70,25,0.0055,5.5,107,5.1402e-05,0,932.0,932,70,25,stable shallow crust,0.82598,0.93,0.1,6.5,0.3,8,67,239,2,WC1994,25N 70E 25-70 km depth,25N_70E_2,-4.54,-5,
70,26,0.0004,5.5,107,3.7383e-06,0,932.0,932,70,25,stable shallow crust,-0.31232,0.93,0.1,6.5,0.3,8,67,239,2,WC1994,26N 70E 25-70 km depth,26N_70E_2,,,
70,27,0.0016,5.5,107,1.4953e-05,0,932.0,932,70,25,stable shallow crust,0.28974,0.93,0.1,6.5,0.3,8,67,239,2,WC1994,27N 70E 25-70 km depth,27N_70E_2,,,
70,28,0.0063,5.5,107,5.8879e-05,0,932.0,932,70,25,stable shallow crust,0.88496,0.93,0.1,6.5,0.3,8,67,239,2,WC1994,28N 70E 25-70 km depth,28N_70E_2,-4.44,-4.9,
70,29,0.0218,5.5,107,0.00020374,0,93.0,93,70,25,subduction interface,2.7991,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,29N 70E 25-70 km depth,29N_70E_2,-3.69,-4.28,-5.46
70,30,0.0321,5.5,107,0.0003,0,93.0,93,70,25,subduction interface,2.9671,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,30N 70E 25-70 km depth,30N_70E_2,-3.52,-4.11,-5.29
70,31,0.0108,5.5,107,0.00010093,0,93.0,93,70,25,subduction interface,2.494,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,31N 70E 25-70 km depth,31N_70E_2,-4,-4.59,-5.77
70,32,0.0121,5.5,107,0.00011308,0,93.0,93,70,25,subduction interface,2.5434,1.18,0.09,8.3,0.4,-2,77,196,2,StrasserInterface,32N 70E 25-70 km depth,32N_70E_2,-3.95,-4.54,-5.72
70,33,0.0045,5.5,107,4.2056e-05,0,97.0,97,70,25,subduction interface,0.73883,0.93,0.12,7.2,0.4,-2,77,196,2,StrasserInterface,33N 70E 25-70 km depth,33N_70E_2,-4.71,-4.93,
70,34,0.0032,5.5,107,2.9907e-05,0,92.0,92,70,25,subduction interface,1.2508,1.05,0.1,8.3,0.4,-5,66,194,2,StrasserInterface,34N 70E 25-70 km depth,34N_70E_2,-4.61,-5.07,-6.12
